GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
21113,Kentucky,Jessamine County,53920,43470,770,14.2804,17,0.3153
26065,Michigan,Ingham County,292735,40761,4180,14.2791,40,0.1366
26135,Michigan,Oscoda County,8276,33896,118,14.2581,2,0.2417
39115,Ohio,Morgan County,14604,33180,208,14.2427,5,0.3424
48503,Texas,Young County,18045,50231,257,14.2422,9,0.4988
54001,West Virginia,Barbour County,16535,32290,235,14.2123,3,0.1814
54059,West Virginia,Mingo County,23785,32051,338,14.2106,4,0.1682
29209,Missouri,Stone County,31749,38900,451,14.2052,5,0.1575
01073,Alabama,Jefferson County,659300,54730,9365,14.2045,116,0.1759
26151,Michigan,Sanilac County,41182,38004,584,14.181,9,0.2185
22081,Louisiana,Red River Parish,8477,42201,120,14.156,2,0.2359
29510,Missouri,St. Louis,302838,47643,4286,14.1528,14,0.0462
34039,New Jersey,Union County,558067,68262,7885,14.1291,61,0.1093
05001,Arkansas,Arkansas County,17769,45290,251,14.1257,5,0.2814
09009,Connecticut,New Haven County,857620,56650,12103,14.1123,128,0.1493
40121,Oklahoma,Pittsburg County,43877,38551,619,14.1076,0,0.0
44001,Rhode Island,Bristol County,48649,78805,686,14.101,14,0.2878
26039,Michigan,Crawford County,13901,34648,196,14.0997,0,0.0
01015,Alabama,Calhoun County,114277,37120,1611,14.0973,56,0.49
21061,Kentucky,Edmonson County,12274,32253,173,14.0948,1,0.0815
08014,Colorado,Broomfield County,69267,66410,975,14.076,7,0.1011
26165,Michigan,Wexford County,33466,36454,471,14.074,9,0.2689
29179,Missouri,Reynolds County,6254,35034,88,14.071,1,0.1599
39005,Ohio,Ashland County,53745,38441,756,14.0664,20,0.3721
41045,Oregon,Malheur County,30725,30992,431,14.0277,6,0.1953
26029,Michigan,Charlevoix County,26244,52885,368,14.0223,3,0.1143
42055,Pennsylvania,Franklin County,154835,46403,2170,14.0149,55,0.3552
53005,Washington,Benton County,201877,47465,2829,14.0135,11,0.0545
47061,Tennessee,Grundy County,13346,31011,187,14.0117,1,0.0749
29073,Missouri,Gasconade County,14705,40316,206,14.0088,0,0.0
06109,California,Tuolumne County,54539,47838,764,14.0083,2,0.0367
30075,Montana,Powder River County,1716,32479,24,13.986,0,0.0
53063,Washington,Spokane County,514631,46466,7194,13.9789,53,0.103
05015,Arkansas,Carroll County,28223,33690,394,13.9602,6,0.2126
29139,Missouri,Montgomery County,11534,40396,161,13.9587,4,0.3468
08029,Colorado,Delta County,30953,38855,432,13.9566,8,0.2585
42101,Pennsylvania,Philadelphia County,1584138,55747,22071,13.9325,134,0.0846
08039,Colorado,Elbert County,26282,57334,366,13.9259,2,0.0761
21195,Kentucky,Pike County,58402,36319,813,13.9208,17,0.2911
28139,Mississippi,Tippah County,21995,33919,306,13.9123,5,0.2273
47129,Tennessee,Morgan County,21579,29380,300,13.9024,0,0.0
47121,Tennessee,Meigs County,12306,33526,171,13.8957,6,0.4876
05097,Arkansas,Montgomery County,8924,30834,124,13.8951,2,0.2241
42107,Pennsylvania,Schuylkill County,142067,42862,1974,13.8949,77,0.542
20103,Kansas,Leavenworth County,81352,42851,1130,13.8903,13,0.1598
22121,Louisiana,West Baton Rouge Parish,26427,46976,367,13.8873,1,0.0378
30107,Montana,Wheatland County,2236,35934,31,13.864,2,0.8945
12087,Florida,Monroe County,75027,92119,1040,13.8617,2,0.0267
18125,Indiana,Pike County,12410,40714,172,13.8598,2,0.1612
27077,Minnesota,Lake of the Woods County,3758,57357,52,13.8371,0,0.0
28141,Mississippi,Tishomingo County,19454,33559,269,13.8275,1,0.0514
29223,Missouri,Wayne County,13122,29581,181,13.7936,0,0.0
47065,Tennessee,Hamilton County,364286,51743,5011,13.7557,42,0.1153
01117,Alabama,Shelby County,215707,54369,2966,13.7501,7,0.0325
21047,Kentucky,Christian County,71671,37742,985,13.7434,10,0.1395
28085,Mississippi,Lincoln County,34205,38682,470,13.7407,5,0.1462
32023,Nevada,Nye County,45346,37835,623,13.7388,10,0.2205
21079,Kentucky,Garrard County,17560,34363,241,13.7244,0,0.0
21175,Kentucky,Morgan County,13345,26831,183,13.713,0,0.0
29039,Missouri,Cedar County,14165,31664,194,13.6957,2,0.1412
01115,Alabama,St. Clair County,88690,38569,1214,13.6881,12,0.1353
54003,West Virginia,Berkeley County,117123,41201,1603,13.6865,6,0.0512
21137,Kentucky,Lincoln County,24644,31399,337,13.6747,1,0.0406
31183,Nebraska,Wheeler County,805,72878,11,13.6646,0,0.0
42129,Pennsylvania,Westmoreland County,350611,52200,4790,13.6619,96,0.2738
35057,New Mexico,Torrance County,15591,30245,213,13.6617,1,0.0641
49037,Utah,San Juan County,15449,26638,211,13.6578,1,0.0647
38011,North Dakota,Bowman County,3076,60829,42,13.6541,1,0.3251
05149,Arkansas,Yell County,21535,33320,294,13.6522,3,0.1393
40063,Oklahoma,Hughes County,13335,31833,182,13.6483,1,0.075
40111,Oklahoma,Okmulgee County,38335,33971,523,13.6429,8,0.2087
28071,Mississippi,Lafayette County,54793,42110,747,13.6331,9,0.1643
54103,West Virginia,Wetzel County,15270,36791,208,13.6215,6,0.3929
46063,South Dakota,Harding County,1249,51036,17,13.6109,0,0.0
37023,North Carolina,Burke County,90382,35265,1230,13.6089,12,0.1328
40147,Oklahoma,Washington County,51843,64481,705,13.5988,5,0.0964
22119,Louisiana,Webster Parish,38798,40175,527,13.5832,15,0.3866
21225,Kentucky,Union County,14505,33736,197,13.5815,0,0.0
20125,Kansas,Montgomery County,32120,37576,436,13.5741,0,0.0
21239,Kentucky,Woodford County,26533,51753,360,13.568,0,0.0
05081,Arkansas,Little River County,12326,34086,167,13.5486,0,0.0
47071,Tennessee,Hardin County,25776,39387,349,13.5397,2,0.0776
29117,Missouri,Livingston County,15146,39805,205,13.5349,5,0.3301
17151,Illinois,Pope County,4212,30306,57,13.5328,0,0.0
47089,Tennessee,Jefferson County,54012,35866,730,13.5155,9,0.1666
40083,Oklahoma,Logan County,47291,43169,639,13.5121,1,0.0211
05069,Arkansas,Jefferson County,68114,35356,918,13.4774,9,0.1321
54085,West Virginia,Ritchie County,9721,37177,131,13.476,3,0.3086
48465,Texas,Val Verde County,49208,36554,663,13.4734,12,0.2439
05025,Arkansas,Cleveland County,8018,40344,108,13.4697,2,0.2494
47029,Tennessee,Cocke County,35774,31942,480,13.4176,13,0.3634
48333,Texas,Mills County,4921,37153,66,13.4119,3,0.6096
48079,Texas,Cochran County,2836,38312,38,13.3992,3,1.0578
48181,Texas,Grayson County,133991,42195,1795,13.3964,34,0.2537
42059,Pennsylvania,Greene County,36506,44751,489,13.3951,4,0.1096
21177,Kentucky,Muhlenberg County,30774,33892,411,13.3554,5,0.1625
21135,Kentucky,Lewis County,13257,31156,177,13.3514,3,0.2263
21043,Kentucky,Carter County,27004,30847,360,13.3314,1,0.037
