State,GeoFIPS,County,population,total_cases
Iowa,19147,Palo Alto County,8929,710
West Virginia,54025,Greenbrier County,34786,707
Illinois,17039,De Witt County,15769,706
Texas,48507,Zavala County,11983,704
Texas,48015,Austin County,29989,704
Kentucky,21109,Jackson County,13442,703
New Mexico,35053,Socorro County,16735,702
Michigan,26129,Ogemaw County,20952,702
Oregon,41033,Josephine County,87393,701
Texas,48331,Milam County,25131,699
Indiana,18125,Pike County,12410,699
Minnesota,27151,Swift County,9345,698
Oklahoma,40117,Pawnee County,16390,695
West Virginia,54047,McDowell County,18223,693
Minnesota,27043,Faribault County,13758,693
Arkansas,5053,Grant County,18188,693
Kansas,20117,Marshall County,9722,692
Wyoming,56009,Converse County,13640,691
Iowa,19107,Keokuk County,10225,690
Nebraska,31013,Box Butte County,10772,687
Kentucky,21229,Washington County,12084,687
Georgia,13133,Greene County,17698,686
Georgia,13241,Rabun County,16867,686
Georgia,13321,Worth County,20299,686
Kansas,20029,Cloud County,8729,686
West Virginia,54053,Mason County,26718,685
North Carolina,37041,Chowan County,14029,685
Kentucky,21063,Elliott County,7508,685
Louisiana,22025,Catahoula Parish,9608,683
Arkansas,5041,Desha County,11512,682
New York,36113,Warren County,64265,680
Arkansas,5081,Little River County,12326,680
Virginia,51183,Sussex County,11237,679
Texas,48357,Ochiltree County,9947,679
Alabama,1131,Wilcox County,10627,678
New York,36035,Fulton County,53591,676
Oklahoma,40061,Haskell County,12668,674
Virginia,51137,Orange County,36644,674
Idaho,16035,Clearwater County,8758,673
Georgia,13199,Meriwether County,21068,672
North Carolina,37199,Yancey County,17903,671
Georgia,13005,Bacon County,11185,671
Oklahoma,40085,Love County,10134,668
Nebraska,31023,Butler County,8058,668
Georgia,13027,Brooks County,15513,668
Missouri,29011,Barton County,11798,666
Kentucky,21231,Wayne County,20468,666
North Dakota,38067,Pembina County,6947,665
Oklahoma,40151,Woods County,8897,664
Oklahoma,40103,Noble County,11289,663
Kansas,20011,Bourbon County,14653,663
Texas,48131,Duval County,11212,662
Mississippi,28005,Amite County,12326,659
Minnesota,27101,Murray County,8276,657
Kentucky,21123,Larue County,14307,657
Tennessee,47161,Stewart County,13561,656
Kentucky,21017,Bourbon County,20184,656
Indiana,18131,Pulaski County,12469,656
Missouri,29063,DeKalb County,12630,654
Virginia,51139,Page County,23933,653
New York,36057,Montgomery County,49455,653
Kentucky,21031,Butler County,12772,652
Michigan,26133,Osceola County,23341,651
Mississippi,28143,Tunica County,9944,649
Kentucky,21161,Mason County,17150,649
Kentucky,21207,Russell County,17821,649
Nebraska,31039,Cuming County,8940,644
Texas,48149,Fayette County,25349,642
Texas,48459,Upshur County,41260,641
Oregon,41065,Wasco County,26505,640
Oklahoma,40063,Hughes County,13335,639
Georgia,13019,Berrien County,19252,638
Tennessee,47153,Sequatchie County,14876,637
Texas,48501,Yoakum County,8591,634
Montana,30101,Toole County,4853,632
Kentucky,21005,Anderson County,22663,632
Kentucky,21203,Rockcastle County,16750,632
Georgia,13099,Early County,10247,630
California,6051,Mono County,14250,629
Montana,30009,Carbon County,10714,629
Missouri,29059,Dallas County,16762,627
Mississippi,28065,Jefferson Davis County,11234,623
Alabama,1119,Sumter County,12691,623
Missouri,29013,Bates County,16320,622
North Carolina,37121,Mitchell County,15000,621
Montana,30001,Beaverhead County,9404,621
Iowa,19151,Pocahontas County,6740,620
South Dakota,46067,Hutchinson County,7380,620
Georgia,13211,Morgan County,18853,620
Kentucky,21233,Webster County,13111,620
Nebraska,31137,Phelps County,8996,619
Virginia,51109,Louisa County,36778,618
Tennessee,47083,Houston County,8263,618
South Dakota,46087,McCook County,5546,617
South Dakota,46115,Spink County,6495,617
Kansas,20167,Russell County,6907,616
Nebraska,31081,Hamilton County,9280,615
Texas,48419,Shelby County,25418,615
Kentucky,21119,Knott County,15126,614
Kentucky,21133,Letcher County,21899,614
Kansas,20139,Osage County,15941,614
North Carolina,37175,Transylvania County,34215,613
Arkansas,5011,Bradley County,10897,611
Idaho,16081,Teton County,11640,610
Tennessee,47027,Clay County,7717,610
Texas,48093,Comanche County,13534,609
Minnesota,27121,Pope County,11097,609
Nebraska,31033,Cheyenne County,9310,608
Utah,49013,Duchesne County,19964,608
Oregon,41009,Columbia County,52377,607
North Carolina,37115,Madison County,21763,607
Minnesota,27063,Jackson County,9911,607
California,6009,Calaveras County,45602,606
Georgia,13171,Lamar County,19000,606
Oklahoma,40093,Major County,7644,605
Idaho,16079,Shoshone County,12796,605
Indiana,18007,Benton County,8653,604
South Carolina,45017,Calhoun County,14520,603
Michigan,26031,Cheboygan County,25413,603
Kentucky,21135,Lewis County,13257,603
Wisconsin,55078,Menominee County,4658,602
Montana,30105,Valley County,7437,601
Texas,48225,Houston County,23169,601
Georgia,13281,Towns County,11852,601
Mississippi,28021,Claiborne County,9002,600
Louisiana,22081,Red River Parish,8477,600
Texas,48259,Kendall County,45641,599
Colorado,8097,Pitkin County,17950,599
Utah,49029,Morgan County,12045,599
Iowa,19089,Howard County,9187,598
South Dakota,46015,Brule County,5229,596
South Dakota,46033,Custer County,8726,596
Arkansas,5049,Fulton County,12269,595
Virginia,51077,Grayson County,15631,594
Kentucky,21103,Henry County,16106,592
Texas,48505,Zapata County,14190,591
Kentucky,21153,Magoffin County,12362,591
Oklahoma,40069,Johnston County,10949,590
Minnesota,27029,Clearwater County,8810,589
Mississippi,28053,Humphreys County,8257,588
Kansas,20043,Doniphan County,7682,587
Nebraska,31173,Thurston County,7303,586
Missouri,29211,Sullivan County,6221,586
Missouri,29065,Dent County,15441,586
Georgia,13043,Candler County,10836,586
Georgia,13259,Stewart County,6199,584
Montana,30043,Jefferson County,12097,583
Iowa,19093,Ida County,6841,581
Minnesota,27149,Stevens County,9753,581
Tennessee,47121,Meigs County,12306,580
West Virginia,54097,Upshur County,24415,579
Ohio,39105,Meigs County,23106,579
Wyoming,56003,Big Horn County,11881,578
Minnesota,27089,Marshall County,9390,578
Wyoming,56043,Washakie County,7885,577
Missouri,29181,Ripley County,13401,577
Kentucky,21045,Casey County,15888,576
North Dakota,38009,Bottineau County,6411,575
Georgia,13025,Brantley County,18897,575
Georgia,13023,Bleckley County,12838,572
Oklahoma,40003,Alfalfa County,5754,571
New Mexico,35017,Grant County,27346,569
Texas,48241,Jasper County,35872,568
New York,36019,Clinton County,80695,568
Pennsylvania,42123,Warren County,39498,568
Texas,48365,Panola County,23148,567
Iowa,19073,Greene County,8981,566
Texas,48035,Bosque County,18691,566
Iowa,19143,Osceola County,6040,564
South Dakota,46123,Tripp County,5478,564
Colorado,8073,Lincoln County,5610,564
North Dakota,38021,Dickey County,4903,563
Utah,49027,Millard County,13006,562
Louisiana,22091,St. Helena Parish,10262,562
Nebraska,31089,Holt County,10178,561
Virginia,51065,Fluvanna County,26783,561
Georgia,13083,Dade County,16226,560
Kansas,20151,Pratt County,9378,560
Virginia,51073,Gloucester County,37349,559
Illinois,17129,Menard County,12288,559
Iowa,19137,Montgomery County,10003,558
Missouri,29079,Grundy County,9914,558
Texas,48395,Robertson County,17284,557
Missouri,29223,Wayne County,13122,556
Arkansas,5137,Stone County,12457,556
Kentucky,21197,Powell County,12442,556
Tennessee,47135,Perry County,8064,554
Indiana,18013,Brown County,15234,554
Kansas,20159,Rice County,9531,553
Utah,49023,Juab County,11555,551
Montana,30005,Blaine County,6807,551
Georgia,13003,Atkinson County,8297,551
Alaska,2185,North Slope,9872,548
Texas,48161,Freestone County,19808,547
Virginia,51027,Buchanan County,21221,547
Kentucky,21087,Green County,11049,547
Kentucky,21097,Harrison County,18778,547
South Dakota,46129,Walworth County,5587,546
North Dakota,38085,Sioux County,4358,546
Nebraska,31041,Custer County,10840,546
Missouri,29173,Ralls County,10212,542
Michigan,26009,Antrim County,23365,541
Mississippi,28069,Kemper County,10027,541
Missouri,29089,Howard County,10137,541
Washington,53009,Clallam County,76737,540
Georgia,13221,Oglethorpe County,15054,540
West Virginia,54001,Barbour County,16535,536
Michigan,26019,Benzie County,17753,535
Virginia,51141,Patrick County,17673,534
Missouri,29073,Gasconade County,14705,534
Nebraska,31099,Kearney County,6544,533
Pennsylvania,42131,Wyoming County,27046,532
Oregon,41011,Coos County,64389,530
South Dakota,46057,Hamlin County,6111,530
Virginia,51145,Powhatan County,29189,530
Georgia,13109,Evans County,10721,530
Wisconsin,55091,Pepin County,7289,529
North Carolina,37149,Polk County,20611,529
Kentucky,21147,McCreary County,17408,529
Iowa,19039,Clarke County,9423,528
New Hampshire,33003,Carroll County,48779,528
Georgia,13271,Telfair County,15876,528
Michigan,26013,Baraga County,8320,525
Kentucky,21065,Estill County,14198,525
Mississippi,28119,Quitman County,7051,524
Oklahoma,40149,Washita County,11127,523
Mississippi,28009,Benton County,8271,523
Michigan,26011,Arenac County,15041,521
Georgia,13141,Hancock County,8348,520
Mississippi,28155,Webster County,9788,517
Wyoming,56035,Sublette County,9813,516
Nevada,32013,Humboldt County,16786,516
Maryland,24029,Kent County,19383,513
Iowa,19051,Davis County,9017,512
Colorado,8051,Gunnison County,17246,512
New Mexico,35047,San Miguel County,27591,512
Maine,23025,Somerset County,50592,511
Kentucky,21127,Lawrence County,15571,511
North Dakota,38031,Foster County,3216,510
Nebraska,31121,Merrick County,7733,510
Texas,48017,Bailey County,7027,510
Virginia,51025,Brunswick County,16384,509
Kansas,20027,Clay County,7997,509
West Virginia,54023,Grant County,11626,507
Texas,48069,Castro County,7665,507
Missouri,29033,Carroll County,8743,506
Maine,23017,Oxford County,57618,506
Nebraska,31107,Knox County,8419,504
Georgia,13231,Pike County,18634,504
Kentucky,21159,Martin County,11323,504
New York,36115,Washington County,61197,503
Texas,48297,Live Oak County,12166,503
Georgia,13253,Seminole County,8315,501
New York,36049,Lewis County,26447,500
Oregon,41027,Hood River County,23428,498
Virginia,51193,Westmoreland County,17830,498
Indiana,18101,Martin County,10217,498
Arkansas,5099,Nevada County,8326,497
Georgia,13065,Clinch County,6648,497
Alaska,2158,Kusilvak,8303,496
Kansas,20147,Phillips County,5317,493
Virginia,51075,Goochland County,23244,492
Alabama,1063,Greene County,8233,492
Idaho,16077,Power County,7768,491
Texas,48063,Camp County,13033,491
West Virginia,54043,Lincoln County,20599,490
Colorado,8049,Grand County,15525,490
Arkansas,5089,Marion County,16722,490
California,6015,Del Norte County,27828,489
Virginia,51099,King George County,26575,489
Georgia,13165,Jenkins County,8683,489
Kansas,20181,Sherman County,5899,489
Kansas,20115,Marion County,11950,489
Arkansas,5101,Newton County,7805,488
Oklahoma,40011,Blaine County,9485,487
Missouri,29075,Gentry County,6628,487
North Dakota,38073,Ransom County,5237,486
Kentucky,21027,Breckinridge County,20388,486
Minnesota,27167,Wilkin County,6254,485
Indiana,18025,Crawford County,10558,485
Alaska,2150,Kodiak Island,13345,484
Iowa,19001,Adair County,7063,484
Iowa,19173,Taylor County,6191,483
Ohio,39111,Monroe County,13790,482
Virginia,51159,Richmond County,9038,482
North Dakota,38049,McHenry County,5816,482
Nebraska,31045,Dawes County,8716,482
West Virginia,54103,Wetzel County,15270,481
Kentucky,21219,Todd County,12311,481
Nebraska,31021,Burt County,6488,480
Iowa,19133,Monona County,8679,479
South Dakota,46085,Lyman County,3821,478
Kentucky,21221,Trigg County,14643,478
Minnesota,27075,Lake County,10658,477
Missouri,29081,Harrison County,8414,477
West Virginia,54027,Hampshire County,23347,476
Missouri,29067,Douglas County,13373,476
Iowa,19135,Monroe County,7790,475
Texas,48289,Leon County,17270,474
Texas,48377,Presidio County,6948,474
Georgia,13167,Johnson County,9708,474
Missouri,29111,Lewis County,9855,473
Kentucky,21053,Clinton County,10206,473
Georgia,13251,Screven County,13938,472
Illinois,17153,Pulaski County,5463,472
Oklahoma,40105,Nowata County,10218,471
Kentucky,21191,Pendleton County,14529,469
Idaho,16029,Caribou County,7060,467
South Dakota,46077,Kingsbury County,4919,467
Nebraska,31035,Clay County,6214,466
Arkansas,5141,Van Buren County,16603,466
Illinois,17123,Marshall County,11534,466
South Carolina,45005,Allendale County,8903,465
Montana,30095,Stillwater County,9534,464
Texas,48007,Aransas County,23792,464
Michigan,26089,Leelanau County,21764,463
Michigan,26101,Manistee County,24528,463
South Dakota,46101,Moody County,6579,461
Nebraska,31139,Pierce County,7142,461
Kentucky,21169,Metcalfe County,10030,461
Missouri,29039,Cedar County,14165,459
Kentucky,21061,Edmonson County,12274,459
Wisconsin,55051,Iron County,5676,458
Nebraska,31101,Keith County,8021,458
Minnesota,27071,Koochiching County,12440,457
Minnesota,27073,Lac qui Parle County,6658,457
Massachusetts,25019,Nantucket County,11327,457
Mississippi,28157,Wilkinson County,8792,455
New York,36025,Delaware County,44527,454
Virginia,51011,Appomattox County,15841,454
Nebraska,31095,Jefferson County,7097,453
South Dakota,46053,Gregory County,4212,452
Texas,48475,Ward County,11720,452
Texas,48281,Lampasas County,21229,451
Kansas,20001,Allen County,12444,448
Kansas,20069,Gray County,6033,448
Arkansas,5109,Pike County,10673,446
Georgia,13093,Dooly County,13706,446
Oklahoma,40127,Pushmataha County,11179,445
Ohio,39115,Morgan County,14604,445
Illinois,17065,Hamilton County,8163,445
North Dakota,38069,Pierce County,4081,444
Tennessee,47127,Moore County,6411,444
West Virginia,54091,Taylor County,16862,443
West Virginia,54067,Nicholas County,24842,442
Montana,30057,Madison County,8768,442
North Carolina,37173,Swain County,14245,442
Missouri,29025,Caldwell County,9108,442
Idaho,16059,Lemhi County,7961,441
Alabama,1023,Choctaw County,12841,440
North Carolina,37137,Pamlico County,12670,440
Kentucky,21149,McLean County,9252,440
Oklahoma,40075,Kiowa County,8729,438
Kansas,20095,Kingman County,7310,438
Nebraska,31027,Cedar County,8446,437
Georgia,13155,Irwin County,9398,437
Arkansas,5127,Scott County,10319,437
North Carolina,37005,Alleghany County,11161,436
Texas,48283,La Salle County,7531,436
Texas,48111,Dallam County,7200,436
Illinois,17169,Schuyler County,6907,436
Virginia,51127,New Kent County,22391,435
Georgia,13319,Wilkinson County,9036,435
West Virginia,54063,Monroe County,13280,432
Arkansas,5025,Cleveland County,8018,432
Texas,48133,Eastland County,18322,431
Kansas,20093,Kearny County,3943,431
Kentucky,21069,Fleming County,14432,430
Texas,48399,Runnels County,10234,429
Nebraska,31051,Dixon County,5709,426
Texas,48077,Clay County,10456,426
Kansas,20003,Anderson County,7878,426
Wyoming,56045,Weston County,6967,425
South Dakota,46037,Day County,5505,424
Virginia,51051,Dickenson County,14523,424
Missouri,29137,Monroe County,8664,424
South Dakota,46031,Corson County,4165,423
Tennessee,47137,Pickett County,5082,423
Kentucky,21025,Breathitt County,12726,423
Oregon,41007,Clatsop County,39764,422
New Mexico,35051,Sierra County,10968,422
Texas,48047,Brooks County,7114,422
Kansas,20157,Republic County,4664,422
Kansas,20189,Stevens County,5559,422
West Virginia,54031,Hardy County,13775,420
Idaho,16021,Boundary County,11948,418
Nebraska,31147,Richardson County,7937,418
Pennsylvania,42057,Fulton County,14523,417
North Carolina,37053,Currituck County,27072,416
Michigan,26079,Kalkaska County,17824,412
Tennessee,47175,Van Buren County,5765,411
Colorado,8011,Bent County,5882,410
Iowa,19195,Worth County,7453,408
Texas,48305,Lynn County,5877,408
Minnesota,27081,Lincoln County,5673,406
Mississippi,28037,Franklin County,7788,406
Missouri,29149,Oregon County,10541,406
Georgia,13235,Pulaski County,11069,406
Kansas,20171,Scott County,4897,406
Iowa,19071,Fremont County,6993,405
Michigan,26039,Crawford County,13901,405
Georgia,13209,Montgomery County,9193,404
Indiana,18155,Switzerland County,10717,402
Indiana,18171,Warren County,8263,401
Missouri,29125,Maries County,8769,400
New York,36099,Seneca County,34300,399
Utah,49015,Emery County,10014,399
Virginia,51079,Greene County,19779,399
Nebraska,31093,Howard County,6468,398
Mississippi,28063,Jefferson County,7106,398
Oklahoma,40141,Tillman County,7348,396
Virginia,51063,Floyd County,15795,396
Kansas,20163,Rooks County,5013,396
Kentucky,21041,Carroll County,10737,396
Mississippi,28019,Choctaw County,8278,395
Kansas,20205,Wilson County,8665,395
North Dakota,38045,LaMoure County,4062,394
Nebraska,31127,Nemaha County,6958,394
Texas,48127,Dimmit County,10308,394
South Dakota,46017,Buffalo County,2036,393
Georgia,13273,Terrell County,8611,392
Iowa,19177,Van Buren County,7020,391
Georgia,13287,Turner County,7912,391
Georgia,13317,Wilkes County,9876,390
Arkansas,5117,Prairie County,8074,389
Wisconsin,55037,Florence County,4321,388
Alabama,1037,Coosa County,10715,388
Idaho,16063,Lincoln County,5360,388
Missouri,29085,Hickory County,9509,388
Georgia,13191,McIntosh County,14340,387
Kentucky,21175,Morgan County,13345,387
Texas,48335,Mitchell County,8145,386
North Dakota,38019,Cavalier County,3829,386
Wyoming,56019,Johnson County,8460,385
Colorado,8125,Yuma County,10020,385
Minnesota,27107,Norman County,6475,385
New Mexico,35057,Torrance County,15591,383
Missouri,29139,Montgomery County,11534,381
Indiana,18161,Union County,7037,381
South Dakota,46003,Aurora County,2801,380
South Dakota,46047,Fall River County,6758,380
Missouri,29061,Daviess County,8313,380
Colorado,8081,Moffat County,13188,378
Missouri,29185,St. Clair County,9395,378
North Dakota,38027,Eddy County,2313,377
North Carolina,37143,Perquimans County,13422,376
West Virginia,54065,Morgan County,17787,373
Ohio,39067,Harrison County,15174,373
Nebraska,31123,Morrill County,4686,373
Iowa,19117,Lucas County,8645,372
North Dakota,38063,Nelson County,2869,372
Texas,48391,Refugio County,7032,370
Georgia,13309,Wheeler County,7879,370
Wyoming,56031,Platte County,8566,369
Nebraska,31059,Fillmore County,5527,369
New York,36033,Franklin County,50293,368
Michigan,26141,Presque Isle County,12738,368
New Hampshire,33007,Coos County,31589,367
Nebraska,31003,Antelope County,6336,367
Nebraska,31011,Boone County,5239,367
Virginia,51071,Giles County,16844,367
Kentucky,21011,Bath County,12383,367
Arkansas,5129,Searcy County,7958,366
Illinois,17009,Brown County,6556,365
South Carolina,45065,McCormick County,9410,365
Arkansas,5097,Montgomery County,8924,364
Kentucky,21139,Livingston County,9242,362
Nevada,32033,White Pine County,9475,361
Minnesota,27011,Big Stone County,4989,361
Missouri,29203,Shannon County,8189,361
Georgia,13201,Miller County,5686,361
Virginia,51131,Northampton County,11735,360
Texas,48299,Llano County,21646,360
Pennsylvania,42105,Potter County,16622,360
Alaska,2188,Northwest Arctic,7671,359
New York,36097,Schuyler County,17912,359
Iowa,19053,Decatur County,7890,359
Arkansas,5039,Dallas County,7182,357
North Dakota,38081,Sargent County,3870,355
Kansas,20077,Harper County,5506,355
Ohio,39163,Vinton County,13139,354
North Dakota,38029,Emmons County,3295,354
South Dakota,46039,Deuel County,4337,353
Texas,48429,Stephens County,9433,353
Missouri,29115,Linn County,12037,353
Kansas,20107,Linn County,9750,353
Colorado,8007,Archuleta County,13765,350
Arkansas,5095,Monroe County,6900,350
Kansas,20031,Coffey County,8233,350
Georgia,13173,Lanier County,10340,349
Georgia,13243,Randolph County,6833,349
Kentucky,21091,Hancock County,8758,347
Montana,30073,Pondera County,5972,346
Kansas,20201,Washington County,5420,346
Kentucky,21131,Leslie County,10143,345
Nebraska,31097,Johnson County,5134,344
North Carolina,37187,Washington County,11859,343
Colorado,8063,Kit Carson County,7163,343
Michigan,26113,Missaukee County,15113,343
Mississippi,28125,Sharkey County,4377,342
Illinois,17071,Henderson County,6709,342
Minnesota,27087,Mahnomen County,5519,339
Montana,30071,Phillips County,4074,338
Utah,49019,Grand County,9764,338
Georgia,13183,Long County,18998,338
Kansas,20197,Wabaunsee County,6899,338
Oklahoma,40029,Coal County,5520,337
Illinois,17175,Stark County,5427,337
Oregon,41001,Baker County,16006,336
Colorado,8065,Lake County,7824,336
Texas,48495,Winkler County,7720,336
Kansas,20119,Meade County,4146,336
Georgia,13283,Treutlen County,6809,335
Wyoming,56011,Crook County,7450,334
Texas,48457,Tyler County,21696,334
California,6027,Inyo County,17987,333
Michigan,26097,Mackinac County,10787,333
Kansas,20179,Sheridan County,2533,333
Oklahoma,40077,Latimer County,10231,332
South Dakota,46007,Bennett County,3468,331
Georgia,13149,Heard County,11879,331
New Mexico,35007,Colfax County,12110,330
Indiana,18115,Ohio County,5844,329
New York,36031,Essex County,37300,328
North Dakota,38025,Dunn County,4332,328
Texas,48287,Lee County,17144,327
Nebraska,31125,Nance County,3532,327
Nebraska,31143,Polk County,5278,327
Texas,48009,Archer County,8786,327
Minnesota,27051,Grant County,6021,327
Missouri,29045,Clark County,6842,327
Vermont,50011,Franklin County,49421,325
Texas,48193,Hamilton County,8484,325
Kansas,20165,Rush County,3093,325
Missouri,29035,Carter County,6054,323
Georgia,13159,Jasper County,14040,323
Maine,23009,Hancock County,54811,323
South Dakota,46043,Douglas County,2935,322
Massachusetts,25007,Dukes County,17352,322
Kentucky,21075,Fulton County,6120,321
Missouri,29057,Dade County,7569,320
New York,36123,Yates County,24841,319
North Dakota,38103,Wells County,3957,319
Louisiana,22023,Cameron Parish,6968,318
Texas,48425,Somervell County,9016,316
Georgia,13193,Macon County,13143,316
Oklahoma,40033,Cotton County,5776,315
Iowa,19009,Audubon County,5506,315
Alaska,2240,Southeast Fairbanks,6918,314
Iowa,19185,Wayne County,6401,314
Missouri,29153,Ozark County,9017,314
Texas,48411,San Saba County,6054,313
Kansas,20063,Gove County,2612,312
Kansas,20135,Ness County,2840,311
Texas,48437,Swisher County,7462,310
Georgia,13315,Wilcox County,8812,310
Kentucky,21077,Gallatin County,8832,310
Montana,30089,Sanders County,11844,309
Montana,30091,Sheridan County,3424,308
Nebraska,31065,Furnas County,4715,308
Idaho,16009,Benewah County,9226,307
Colorado,8071,Las Animas County,14503,306
Oregon,41013,Crook County,23867,304
Vermont,50025,Windham County,42756,304
Virginia,51021,Bland County,6293,304
West Virginia,54089,Summers County,12760,302
North Carolina,37043,Clay County,11139,302
Idaho,16085,Valley County,11041,302
Virginia,51101,King William County,16939,302
Oklahoma,40055,Greer County,5821,301
Illinois,17013,Calhoun County,4802,301
North Carolina,37103,Jones County,9637,300
Washington,53039,Klickitat County,22107,300
Washington,53051,Pend Oreille County,13602,300
Nebraska,31161,Sheridan County,5190,300
Kansas,20081,Haskell County,3997,300
Kansas,20127,Morris County,5521,299
Texas,48105,Crockett County,3499,298
Montana,30015,Chouteau County,5745,298
Arkansas,5105,Perry County,10352,298
Kansas,20073,Greenwood County,6055,298
Virginia,51133,Northumberland County,12147,297
Arizona,4011,Greenlee County,9483,297
South Dakota,46059,Hand County,3262,296
Michigan,26131,Ontonagon County,5795,296
Georgia,13269,Taylor County,8039,296
Texas,48343,Morris County,12339,295
Virginia,51037,Charlotte County,11938,295
Georgia,13037,Calhoun County,6352,295
Oklahoma,40043,Dewey County,4894,294
Texas,48237,Jack County,8843,294
Nebraska,31169,Thayer County,5039,294
Colorado,8121,Washington County,4909,293
Georgia,13181,Lincoln County,7915,293
Kansas,20143,Ottawa County,5802,293
Missouri,29087,Holt County,4404,292
West Virginia,54041,Lewis County,16024,290
North Carolina,37075,Graham County,8484,290
South Dakota,46111,Sanborn County,2429,290
South Dakota,46049,Faulk County,2330,289
Minnesota,27069,Kittson County,4248,289
Michigan,26001,Alcona County,10362,288
Vermont,50021,Rutland County,58672,287
Iowa,19159,Ringgold County,4968,286
South Dakota,46107,Potter County,2207,286
Texas,48307,McCulloch County,7987,286
Texas,48019,Bandera County,22824,286
Georgia,13101,Echols County,4000,286
Kansas,20123,Mitchell County,6150,286
South Dakota,46061,Hanson County,3376,285
Nebraska,31029,Chase County,3977,285
New Hampshire,33019,Sullivan County,43144,284
New Mexico,35037,Quay County,8253,284
Montana,30097,Sweet Grass County,3710,282
Nevada,32015,Lander County,5575,282
Texas,48229,Hudspeth County,4795,281
Colorado,8093,Park County,18556,281
Illinois,17003,Alexander County,6060,280
South Dakota,46025,Clark County,3739,280
Virginia,51007,Amelia County,13013,280
Texas,48405,San Augustine County,8232,279
South Dakota,46045,Edmunds County,3875,278
Texas,48483,Wheeler County,5191,278
Arkansas,5073,Lafayette County,6682,278
Kentucky,21187,Owen County,10880,278
West Virginia,54075,Pocahontas County,8414,277
Washington,53049,Pacific County,22036,277
Oklahoma,40059,Harper County,3797,276
Oklahoma,40067,Jefferson County,6123,276
Illinois,17047,Edwards County,6392,276
Colorado,8105,Rio Grande County,11250,275
Kentucky,21055,Crittenden County,8915,274
Texas,48211,Hemphill County,3825,273
Texas,48059,Callahan County,13994,273
North Dakota,38039,Griggs County,2232,271
Maine,23007,Franklin County,29897,271
Illinois,17155,Putnam County,5740,271
Colorado,8113,San Miguel County,8191,269
Missouri,29093,Iron County,10177,269
Illinois,17171,Scott County,4926,269
Missouri,29041,Chariton County,7451,268
Kansas,20153,Rawlins County,2508,268
Georgia,13289,Twiggs County,8188,267
Idaho,16061,Lewis County,3861,265
Maine,23027,Waldo County,39694,265
Texas,48407,San Jacinto County,28719,264
Nebraska,31129,Nuckolls County,4195,264
Texas,48205,Hartley County,5619,263
Texas,48317,Martin County,5753,263
Virginia,51057,Essex County,10919,263
Vermont,50027,Windsor County,55286,261
Nebraska,31167,Stanton County,5970,261
North Dakota,38075,Renville County,2374,261
New York,36095,Schoharie County,31097,260
North Carolina,37073,Gates County,11573,260
Minnesota,27125,Red Lake County,3999,260
Vermont,50017,Orange County,28999,259
Montana,30025,Fallon County,2920,259
Texas,48159,Franklin County,10766,257
Texas,48195,Hansford County,5463,257
Nebraska,31181,Webster County,3533,257
Michigan,26003,Alger County,9097,257
Kentucky,21189,Owsley County,4472,256
Utah,49017,Garfield County,5080,253
Kentucky,21057,Cumberland County,6659,253
Kansas,20109,Logan County,2844,253
Oklahoma,40045,Ellis County,3952,252
Montana,30099,Teton County,6162,252
North Dakota,38041,Hettinger County,2514,251
Michigan,26135,Oscoda County,8276,251
Missouri,29205,Shelby County,6050,250
Georgia,13079,Crawford County,12318,250
North Dakota,38051,McIntosh County,2585,248
Virginia,51103,Lancaster County,10783,248
Vermont,50003,Bennington County,35631,247
Texas,48387,Red River County,12175,247
South Dakota,46073,Jerauld County,2043,246
Kansas,20195,Trego County,2793,246
Alaska,2180,Nome,10008,245
Montana,30065,Musselshell County,4651,245
South Dakota,46117,Stanley County,3022,243
Nevada,32017,Lincoln County,5201,243
South Dakota,46137,Ziebach County,2742,242
Texas,48103,Crane County,4794,241
Oklahoma,40007,Beaver County,5319,240
Oklahoma,40053,Grant County,4326,239
Texas,48247,Jim Hogg County,5248,238
Alaska,2261,Valdez-Cordova,9164,236
Texas,48435,Sutton County,3758,236
Michigan,26085,Lake County,11881,236
Texas,48455,Trinity County,14740,235
Utah,49025,Kane County,7709,234
Virginia,51043,Clarke County,14523,234
Michigan,26119,Montmorency County,9265,234
Missouri,29005,Atchison County,5171,234
Colorado,8109,Saguache County,6843,232
Kentucky,21143,Lyon County,8009,232
Kentucky,21039,Carlisle County,4771,231
Texas,48383,Reagan County,3741,230
Tennessee,47067,Hancock County,6549,230
Maine,23013,Knox County,39771,230
Texas,48109,Culberson County,2204,229
Arkansas,5147,Woodruff County,6490,229
South Dakota,46105,Perkins County,2922,228
Louisiana,22107,Tensas Parish,4462,228
Colorado,8021,Conejos County,8200,227
Kansas,20185,Stafford County,4178,227
North Dakota,38043,Kidder County,2450,226
Kansas,20023,Cheyenne County,2660,226
Illinois,17059,Gallatin County,5058,226
West Virginia,54021,Gilmer County,8026,225
Montana,30007,Broadwater County,6085,225
Kentucky,21223,Trimble County,8515,225
West Virginia,54087,Roane County,13932,223
South Dakota,46071,Jackson County,3307,222
North Dakota,38095,Towner County,2192,222
Georgia,13197,Marion County,8351,221
Colorado,8055,Huerfano County,6889,220
Nebraska,31175,Valley County,4190,220
Nebraska,31105,Kimball County,3618,220
Colorado,8019,Clear Creek County,9605,218
Kentucky,21237,Wolfe County,7177,217
South Dakota,46091,Marshall County,5112,216
